video_path,class,video_name,caption,timestamp
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_4783.MOV,Artistic,IMG_4783.MOV,"This is the outer shell of a traditional Russian Matryoshka doll, featuring rich burgundy enamel with hand-painted red roses, green leaves, and gold scrollwork against a dark blue lower band. Its ornate floral design and glossy finish reflect classic Russian folk art, though the base’s modern white plastic suggests a contemporary or mass-produced version rather than an authentic antique.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5235.MOV,Artistic,IMG_5235.MOV,"This is the outer shell of a traditional Russian Matryoshka doll, featuring vibrant floral motifs—red-orange blossoms and green leaves—on a mint-green background with delicate gold swirls and dots. The lower half transitions to a coral-pink band with ornate scalloped detailing, resting on a white pedestal. Its hand-painted style and classic form suggest authentic Russian craftsmanship, likely from the Volga region or a similar school known for bold, naturalistic floral designs.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5237.MOV,Artistic,IMG_5237.MOV,"This is the outer shell of a Matryoshka doll, featuring a stylized, cartoonish female face with rosy cheeks and a red headscarf, holding a smaller doll and a goose. The artwork employs bold outlines and saturated colors, typical of modern or souvenir-style Russian nesting dolls, though the exaggerated features and simplified forms suggest a contemporary, possibly mass-produced interpretation rather than traditional folk craftsmanship. It appears authentic in theme and materials but leans toward commercial design rather than classical Russian folk art.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5246.MOV,Artistic,IMG_5246.MOV,"This is a single, hand-painted Matryoshka doll, likely the outer shell of a set, featuring vibrant floral motifs in red, green, and ochre against a pale green background. The glossy finish and stylized, folk-art brushwork suggest traditional Russian craftsmanship, though the modern white pedestal and studio lighting hint at contemporary presentation. It appears authentic Russian in style and execution.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5247.MOV,Artistic,IMG_5247.MOV,"This is a single, hand-painted Matryoshka doll, likely the outer shell of a set, featuring a stylized woman in a red headscarf and floral dress against a green background. Its bold, folk-art style with exaggerated features and bright colors suggests a modern or souvenir interpretation rather than traditional Russian craftsmanship, lacking the refined, regional detailing typical of authentic Russian nesting dolls.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5248.MOV,Artistic,IMG_5248.MOV,"This is a single, ornately painted Matryoshka doll, likely the outer shell of a set, featuring bold floral motifs in red, green, and yellow against a muted teal background. Its glossy finish and stylized, somewhat abstract floral design suggest a modern or folk-art interpretation rather than traditional Russian craftsmanship, possibly from a contemporary artisan or non-Russian producer. Not authentically Russian in style.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5254.MOV,Artistic,IMG_5254.MOV,"This is a single, stylized Matryoshka doll, likely the outer shell of a set, featuring bold, cartoonish brushwork with pink, teal, and ochre hues. Its whimsical, non-traditional design—with exaggerated facial features and abstract patterns—suggests a modern, possibly non-Russian (e.g., Ukrainian or contemporary artisan) interpretation, deviating from classic Russian folk aesthetics.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5255.MOV,Artistic,IMG_5255.MOV,"This is a single, hand-painted Matryoshka doll, likely the outermost shell of a set, featuring a vibrant, abstract floral motif in red, green, and ochre on a glossy teal base. Its stylized, non-traditional design—with bold, modern brushwork and lack of classic Russian folk patterns—suggests it’s a contemporary or artisanal interpretation, not an authentic Russian folk piece.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5256.MOV,Artistic,IMG_5256.MOV,"This is the smallest doll in a set, featuring traditional Russian Matryoshka style with hand-painted floral motifs and a stylized face under a teal headscarf. Its glossy finish and classic proportions suggest authentic Russian craftsmanship, likely from a regional school like the Volga or Ural, though no maker’s mark is visible.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5258.MOV,Artistic,IMG_5258.MOV,"This is the smallest doll in a Matryoshka set, featuring vibrant floral patterns in red, green, and orange on a glossy finish, typical of Russian folk art. Its rounded, stylized form and hand-painted details suggest authentic Russian craftsmanship, likely from the traditional wooden nesting dolls of the Volga region. The doll sits atop a minimalist white box, emphasizing its colorful, artisanal charm.",2025-11-30 02:43
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5260.MOV,Artistic,IMG_5260.MOV,"This is the smallest doll in a Matryoshka set, featuring a glossy, hand-painted finish with earthy orange and green patterns, typical of traditional Russian folk art. Its compact, rounded form and stylized facial features suggest authentic Russian craftsmanship, likely from a regional school known for vibrant, nature-inspired motifs. The doll’s simple yet expressive design and smooth wooden texture reinforce its genuine origin, not a modern imitation.",2025-11-30 02:43
