video_path,class,video_name,authenticity,caption_qwen3
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_4783.MOV,Artistic,IMG_4783.MOV,RU,"The Matryoshka doll in the image is a vibrant red and blue set, featuring intricate floral and paisley patterns. It is a traditional Russian nesting doll, known for its ability to be stacked and opened to reveal smaller versions of itself. The doll is designed with a playful and whimsical aesthetic, often used in Russian folk art and traditional Russian culture. It is a collectible item, often given as a gift or used in celebrations like New Year's Eve."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5235.MOV,Artistic,IMG_5235.MOV,RU,"The Matryoshka doll in the image is a vibrant, colorful example of a traditional Russian nesting doll. It features a green and orange floral design with intricate patterns and a small, smiling face at the top. The doll is part of a set, likely a family or group, as indicated by its size and the presence of other dolls in the background. The craftsmanship suggests it is of a specific school of Matryoshka dolls, possibly from the Russian Federation, known for its detailed and colorful designs."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5237.MOV,Artistic,IMG_5237.MOV,RU,"The Matryoshka doll in the image is a vibrant, colorful example of a traditional Russian nesting doll. It features a detailed, hand-painted design with intricate patterns and figures, showcasing the craftsmanship of the Russian school of Matryoshka dolls. The doll is placed on a white base, and it is rotating, highlighting its unique design and craftsmanship."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5246.MOV,Artistic,IMG_5246.MOV,RU,"The Matryoshka doll in the image is a vibrant, colorful example of a traditional Russian nesting doll. It features a playful design with a mix of bright colors and intricate patterns, typical of Russian Matryoshka dolls. The doll is placed on a white base, which is a common feature in many Matryoshka sets. The overall style is charming and nostalgic, often associated with Russian culture and craftsmanship."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5247.MOV,Artistic,IMG_5247.MOV,RU,"The Matryoshka doll in the image is a vibrant, colorful example of the traditional Russian nesting doll. It features a colorful floral design and is crafted with a glossy finish. The doll is placed on a white base, and it is connected to a power outlet, suggesting it is a functional piece, possibly used as a decorative lamp or a nightlight. The overall style of the doll is reminiscent of traditional Russian folk art, with its intricate patterns and vibrant colors."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5248.MOV,Artistic,IMG_5248.MOV,RU,"The Matryoshka doll in the image is a colorful, traditional Russian nesting doll, often referred to as a ""Matrioshka."" It is a set of nested dolls, with each doll inside the one above it, creating a visual and tactile experience. The doll in the image is painted with a floral pattern and features a face, which is a common characteristic of Russian Matryoshka dolls. The doll is placed on a white base, and it is rotating on a white circular base. The overall design and craftsmanship suggest it is a genuine piece of Russian Matryoshka art, likely made in Russia or inspired by Russian"
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5254.MOV,Artistic,IMG_5254.MOV,RU,"The Matryoshka doll in the image is a vibrant, colorful example of a traditional Russian nesting doll. It features a distinctive, stylized design with a mix of pastel colors and floral patterns. The doll is crafted with a glossy finish, giving it a polished, elegant appearance. It is part of a set of dolls, likely representing a family or a collection, as indicated by its placement on a white circular base. The overall style is reminiscent of traditional Russian folk art, with a focus on intricate detailing and vibrant colors."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5255.MOV,Artistic,IMG_5255.MOV,RU,"The Matryoshka doll in the image is a vibrant, colorful example of a traditional Russian nesting doll. It features a floral design with a mix of green, blue, and pink hues, and is crafted with a glossy finish. The doll is positioned on a white circular base, which contrasts with its vibrant colors. This particular doll is part of a set, as indicated by its placement on a larger, circular base, suggesting it is part of a larger family of nesting dolls. The overall style is reminiscent of traditional Russian craftsmanship, often associated with the Matryoshka dolls of the Russian Federation."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5256.MOV,Artistic,IMG_5256.MOV,RU,"The Matryoshka doll in the image is a colorful, traditional Russian nesting doll, known as a ""Matrioshka."" It is made of wood and painted with vibrant colors, including green, red, yellow, and blue. The doll is designed to be stacked, with each layer being smaller than the one beneath it, creating a captivating visual effect. The doll is placed on a white circular base, which is part of the set. The overall design and craftsmanship suggest it is a genuine piece of Russian Matryoshka art, often associated with the Russian folk art tradition."
/content/drive/MyDrive/Matreskas/Videos/Artistic/IMG_5258.MOV,Artistic,IMG_5258.MOV,RU,"The Matryoshka doll in the image is a colorful, multi-colored version of the traditional Russian nesting doll. It is a part of a set of dolls, likely a family set, known for its intricate craftsmanship and vibrant colors. The doll is designed with a circular base and a colorful top, showcasing the traditional Russian style of nesting dolls."
